cnpj_fundo,grupo_economico,data_competencia,codigo_ativo,ticker,descricao_ativo,tipo_ativo,qtd_vendida,valor_venda,qtd_comprada,valor_compra,qtd_posicao_final,valor_mercado,valor_custo,emissor_ligado,rentabilidade,tipo_movimentacao
00.819.875/0001-10,WESTERN ASSET,2025-10-31,CEEBB2,EEBB2,DEB,Debênture simples,0.0,0.0,0.0,0.0,62.0,312027.92,0.0,N,31202792.0,NEUTRO
00.819.875/0001-10,WESTERN ASSET,2025-10-31,SNGO18,SNGO18,DEB,Debênture simples,0.0,0.0,0.0,0.0,2867.0,79945.08,0.0,N,7994508.0,NEUTRO
00.819.875/0001-10,WESTERN ASSET,2025-10-31,CSMGA5,SMGA5,DEB,Debênture simples,0.0,0.0,0.0,0.0,3178.0,249722.17,0.0,N,24972217.0,NEUTRO
00.819.875/0001-10,WESTERN ASSET,2025-10-31,STBP24,STBP24,DEB,Debênture simples,0.0,0.0,0.0,0.0,2054.0,1045339.92,0.0,N,104533992.0,NEUTRO
00.819.875/0001-10,WESTERN ASSET,2025-10-31,ALGA28,ALGA28,DEB,Debênture simples,0.0,0.0,0.0,0.0,305.0,1575872.41,0.0,N,157587241.0,NEUTRO
00.819.875/0001-10,WESTERN ASSET,2025-10-31,ELET32,ELET32,DEB,Debênture simples,0.0,0.0,0.0,0.0,1173.0,1262128.88,0.0,N,126212887.99999999,NEUTRO
00.819.875/0001-10,WESTERN ASSET,2025-10-31,CEPE20,CEPE20,DEB,Debênture simples,0.0,0.0,0.0,0.0,100.0,505476.23,0.0,N,50547623.0,NEUTRO
00.819.875/0001-10,WESTERN ASSET,2025-10-31,OMGE21,OMGE21,DEB,Debênture simples,0.0,0.0,0.0,0.0,1039.0,671820.32,0.0,N,67182032.0,NEUTRO
00.832.435/0001-00,ITAÚ,2025-10-31,RDORD4,DORD4,DEB,Debênture simples,0.0,0.0,0.0,0.0,540.0,552339.7,0.0,N,55233969.99999999,NEUTRO
00.832.435/0001-00,ITAÚ,2025-10-31,RDORD3,DORD3,DEB,Debênture simples,0.0,0.0,0.0,0.0,42.0,46381.96,0.0,N,4638196.0,NEUTRO
00.832.435/0001-00,ITAÚ,2025-10-31,TBSP22,TBSP22,DEB,Debênture simples,0.0,0.0,0.0,0.0,6.0,6062.18,0.0,N,606218.0,NEUTRO
00.832.435/0001-00,ITAÚ,2025-10-31,CGOS19,CGOS19,DEB,Debênture simples,0.0,0.0,0.0,0.0,947.0,1018346.98,0.0,N,101834698.0,NEUTRO
00.832.435/0001-00,ITAÚ,2025-10-31,CMGD19,CMGD19,DEB,Debênture simples,0.0,0.0,0.0,0.0,15.0,8114.76,0.0,N,811476.0,NEUTRO
00.832.435/0001-00,ITAÚ,2025-10-31,RDORB9,DORB9,DEB,Debênture simples,0.0,0.0,0.0,0.0,263.0,280129.09,0.0,N,28012909.000000004,NEUTRO
00.832.435/0001-00,ITAÚ,2025-10-31,RENTE2,ENTE2,DEB,Debênture simples,0.0,0.0,0.0,0.0,334.0,355721.41,0.0,N,35572141.0,NEUTRO
00.832.435/0001-00,ITAÚ,2025-10-31,CPLDB0,PLDB0,DEB,Debênture simples,0.0,0.0,0.0,0.0,362.0,378482.76,0.0,N,37848276.0,NEUTRO
00.832.435/0001-00,ITAÚ,2025-10-31,GGBRA7,GBRA7,DEB,Debênture simples,0.0,0.0,0.0,0.0,446.0,474766.1,0.0,N,47476610.0,NEUTRO
00.852.311/0001-89,BANCO DO BRASIL,2025-10-31,CTEE19,CTEE19,DEB,Debênture simples,0.0,0.0,0.0,0.0,18100.0,20373107.69,0.0,N,2037310769.0000002,NEUTRO
00.852.311/0001-89,BANCO DO BRASIL,2025-10-31,CPGT17,CPGT17,DEB,Debênture simples,0.0,0.0,0.0,0.0,34380.0,17396593.4,0.0,N,1739659339.9999998,NEUTRO
00.852.311/0001-89,BANCO DO BRASIL,2025-10-31,DASAA5,ASAA5,DEB,Debênture simples,0.0,0.0,0.0,0.0,3000.0,2943829.39,0.0,N,294382939.0,NEUTRO
00.852.311/0001-89,BANCO DO BRASIL,2025-10-31,EKTRA0,KTRA0,DEB,Debênture simples,0.0,0.0,0.0,0.0,11059.0,11192906.67,0.0,N,1119290667.0,NEUTRO
00.852.311/0001-89,BANCO DO BRASIL,2025-10-31,RDORB9,DORB9,DEB,Debênture simples,0.0,0.0,0.0,0.0,28500.0,30356196.91,0.0,N,3035619691.0,NEUTRO
00.852.311/0001-89,BANCO DO BRASIL,2025-10-31,VBBR15,VBBR15,DEB,Debênture simples,0.0,0.0,0.0,0.0,29842.0,30655562.85,0.0,N,3065556285.0,NEUTRO
00.852.311/0001-89,BANCO DO BRASIL,2025-10-31,SBSPE8,BSPE8,DEB,Debênture simples,0.0,0.0,0.0,0.0,15817.0,8326519.03,0.0,N,832651903.0,NEUTRO
00.852.311/0001-89,BANCO DO BRASIL,2025-10-31,ASAIA0,SAIA0,DEB,Debênture simples,0.0,0.0,0.0,0.0,50852.0,53245312.18,0.0,N,5324531218.0,NEUTRO
00.852.311/0001-89,BANCO DO BRASIL,2025-10-31,ESCEA6,SCEA6,DEB,Debênture simples,0.0,0.0,0.0,0.0,95000.0,99730097.19,0.0,N,9973009719.0,NEUTRO
00.852.311/0001-89,BANCO DO BRASIL,2025-10-31,PASS24,PASS24,DEB,Debênture simples,0.0,0.0,0.0,0.0,100405.0,104340305.09,0.0,N,10434030509.0,NEUTRO
