TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;TP_TITPUB;CD_ISIN;CD_SELIC;DT_EMISSAO;DT_VENC
CLASSES - FIF;00.017.024/0001-53;FIF - CLASSE DE INVESTIMENTO   RENDA FIXA EXPONENCIAL - RESP LIMITADA;2025-08-31;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;17.000000;292936.50;37.000000;638277.90;;;LETRAS FINANCEIRAS DO TESOURO;BRSTNCLF1RF7;210100;2020-03-13;2026-09-01
CLASSES - FIF;00.017.024/0001-53;FIF - CLASSE DE INVESTIMENTO   RENDA FIXA EXPONENCIAL - RESP LIMITADA;2025-08-31;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;0.000000;0.00;30.000000;517239.57;;;LETRAS FINANCEIRAS DO TESOURO;BRSTNCLF1RG5;210100;2020-07-03;2027-03-01
CLASSES - FIF;00.073.041/0001-08;BB BESC RENDA FIXA PRÁTICO CRÉDITO PRIVADO FIF RESPONSABILIDADE LIMITADA;2025-08-31;Operações Compromissadas;Título público federal;S;Para negociação;;;;;436.000000;7444625.22;;;LETRAS FINANCEIRAS DO TESOURO;BRSTNCLF1RU6;210100;2025-01-08;2031-03-01
CLASSES - FIF;00.073.041/0001-08;BB BESC RENDA FIXA PRÁTICO CRÉDITO PRIVADO FIF RESPONSABILIDADE LIMITADA;2025-08-31;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;0.000000;0.00;100.000000;1724131.92;;;LETRAS FINANCEIRAS DO TESOURO;BRSTNCLF1RG5;210100;2020-07-03;2027-03-01
CLASSES - FIF;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-08-31;Operações Compromissadas;Título público federal;N;Para negociação;;;;;898.000000;3668239.39;;;NOTAS DO TESOURO NACIONAL SERIE B;BRSTNCNTB674;760199;2022-01-05;2032-08-15
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-08-31;Operações Compromissadas;Título público federal;S;Para negociação;;;;;33868.000000;578534710.88;;;LETRAS FINANCEIRAS DO TESOURO;BRSTNCLF1RT8;210100;2024-10-02;2030-12-01
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-08-31;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;0.000000;0.00;1203572.000000;1147526444.63;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN7U7;100000;2020-02-06;2026-01-01
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-08-31;Títulos Públicos;Título público federal;;Para negociação;120000.000000;109927972.66;0.000000;0.00;730000.000000;673536919.95;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN8B5;100000;2024-01-05;2026-04-01
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-08-31;Títulos Públicos;Título público federal;;Para negociação;50000.000000;44323180.50;0.000000;0.00;1775000.000000;1586009317.39;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN848;100000;2023-01-06;2026-07-01
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-08-31;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;0.000000;0.00;705000.000000;696105103.85;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN863;100000;2023-07-07;2025-10-01
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-08-31;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;0.000000;0.00;250000.000000;216328980.50;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN8G4;100000;2024-07-05;2026-10-01
CLASSES - FIF;00.211.294/0001-09;BRADESCO FIF - CLASSE DE INVESTIMENTO RF LP EUCALIPTO - RESP LIMITADA;2025-08-31;Operações Compromissadas;Título público federal;S;Para negociação;;;;;472539.000000;434429414.47;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN8B5;100000;2024-01-05;2026-04-01
