TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Cotas de Fundos;;N;;;;;;47.000000;904.57;;;;;;PJ;03256793000100;BRADESCO FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI FEDERAL EXTRA -RESP LIMITADA;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Cotas de Fundos;;S;;;;;;10454.000000;17301986.92;;;;;;PJ;34658789000194;DAYCOVAL TÍTULOS PUBLICOS I FUNDO DE INVESTIMENTO FINANCEIRO;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Títulos ligados ao agronegócio;CPR;N;Para negociação;;;;;0.000000;72686593.33;;;;;2050-12-30;;;;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Disponibilidades;Outros;N;Para negociação;;;;;;179399.72;;;;TITULO DE CAIXA;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;123546.000000;165243748.84;;;;COTA CDI - 30/12/2027;;PJ;50653785000170;COTRIB? FIAGRO-DIREITOS CREDIT?RIOS;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Outras aplicações;Outros;S;Para negociação;0.000000;0.00;0.000000;0.00;0.000000;-144543263.11;;;;SN COTRIBA CDI;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;412.97;;;;ACCESS_DESP COBRAN?A;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;8903.50;;;;AG.COBRAN?A A PAGAR;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;63619.65;;;;AJUSTE DE COTAS;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;13957.08;;;;Despesa Provis?o;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;300267.79;;;;IDENTIFICAR DC;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;717.02;;;;MAZARS_DESP PROVISAO;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;20700485.73;;;;MZ INDIGO CDI;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;2240087.88;;;;PDD DC S/R FROMTIS;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;23263.72;;;;TXADM A PAGAR;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;5190.91;;;;TXCUST A PAGAR;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a pagar;Outros;N;Para negociação;;;;;;259494.75;;;;TXGESTAO A PAGAR;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a receber;Outros;N;Para negociação;;;;;;995.04;;;;ANBIMA DIFERIDO;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a receber;Outros;N;Para negociação;;;;;;22180.69;;;;CVM DIFERIDO;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO-DIREITOS CREDITÓRIOS;2025-08-31;992695;206817620.64;Valores a receber;Outros;N;Para negociação;;;;;;341553.70;;;;DEMAIS ATIVO FROMTIS;;PJ;62232889000190;BANCO DAYCOVAL S.A.;;;;;;;
