TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;206005403.02;;;Outros;999 X 999
CLASSES - FIF;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3122905.81;;;SDP;DI1 X PRE
CLASSES - FIF;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;184458183.13;;;Outros;999 X 999
CLASSES - FIF;02.885.730/0001-42;KONA FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;7389001.48;;;SDP;DI1 X PRE
CLASSES - FIF;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO FINANCEIRO CAMBIAL LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;4236888.21;;;SDE;DI1 X REU
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;280944693.89;;;Outros;999 X 999
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;139802032.91;;;SEP;REU X PRE
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;102402007.21;;;SCP;DOL X PRE
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;33266797.93;;;SCE;DOL X REU
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;36619828.01;;;SDL;DI1 X IAP
