TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;DT_VENC;TITULO_POSFX;CD_INDEXADOR_POSFX;DS_INDEXADOR_POSFX;PR_INDEXADOR_POSFX;PR_CUPOM_POSFX;PR_TAXA_PREFX;TITULO_CETIP;TITULO_GARANTIA;CNPJ_INSTITUICAO_FINANC_COOBR
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-11-30;Debêntures;Debênture simples;N;Para negociação;;;;;5198.000000;1133114.40;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2027-12-31;S;DI1;DI de um dia;100.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-11-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;520.000000;524091.84;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2029-09-05;S;DI1;DI de um dia;100.000000;3.500000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-11-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;20.000000;21611.52;;;PJ;25.005.683/0001-09;VERT COMPANHIA SECURITIZADORA;2034-02-10;S;DI1;DI de um dia;107.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-11-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;25.000000;25543.21;;;PJ;08.769.451/0001-08;VIRGO COMPANHIA DE SECURITIZAÇÃO;2029-04-12;S;DI1;DI de um dia;100.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-11-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;460.000000;474583.27;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2030-08-15;S;DI1;DI de um dia;103.100000;0.000100;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-11-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;303.000000;155089.53;;;PJ;02.773.542/0001-22;OPEA SECURITIZADORA S.A.;2026-12-17;S;DI1;DI de um dia;100.000000;5.350000;;S;N;
CLASSES - FIF;00.832.435/0001-00;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA;2025-11-30;Debêntures;Debênture simples;N;Para negociação;;;;;4292.000000;4314402.46;;;PJ;43.776.517/0001-80;CIA SANEAMENTO BASICO EST SAO PAULO;2032-11-14;S;DI1;DI de um dia;100.000000;0.690000;;S;N;
CLASSES - FIF;00.852.311/0001-89;BB TOP DI RENDA FIXA REFERENCIADO DI LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2025-11-30;Debêntures;Debênture simples;N;Para negociação;;;;;40000.000000;40156690.11;;;PJ;61.856.571/0001-17;CIA GAS SAO PAULO COMGAS;2028-05-15;S;DI1;DI de um dia;100.000000;0.450000;;S;N;
CLASSES - FIF;00.888.897/0001-31;BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;2025-11-30;Debêntures;Debênture simples;N;Para negociação;;;;;2387.000000;2374576.07;;;PJ;09.288.252/0001-32;ANIMA HOLDING S.A.;2029-10-15;S;DI1;DI de um dia;100.000000;1.930200;;S;N;
CLASSES - FIF;00.888.897/0001-31;BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;2025-11-30;Debêntures;Debênture simples;N;Para negociação;;;;;9550.000000;9640678.07;;;PJ;55.085.811/0001-24;EXES SECURITIZADORA S.A.;2031-10-20;S;DI1;DI de um dia;100.000000;1.000000;;S;N;
