TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
CLASSES - FIAGRO;45.123.558/0001-00;CANAÃ FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-10-31;1040792;1795759612.90;Cotas de Fundos;;S;;634520.988365;50412604.89;145753.436420;11516000.00;784367.831505;62723557.29;;;;;;PJ;06175696000173;ITAÚ SOBERANO RENDA FIXA SIMPLES FIF DA CIC RESPONSABILIDADE LIMITADA;;;;;;;
CLASSES - FIAGRO;45.123.558/0001-00;CANAÃ FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-10-31;1040792;1795759612.90;Títulos ligados ao agronegócio;CRA;N;Para negociação;0.000000;0.00;0.000000;0.00;740000.000000;785402687.70;;;;;2030-06-17;;;;;;;;;;
CLASSES - FIAGRO;45.123.558/0001-00;CANAÃ FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-10-31;1040792;1795759612.90;Títulos ligados ao agronegócio;CRA;N;Para negociação;0.000000;0.00;0.000000;0.00;500000.000000;515964822.40;;;;;2036-12-15;;;;;;;;;;
CLASSES - FIAGRO;45.123.558/0001-00;CANAÃ FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-10-31;1040792;1795759612.90;Disponibilidades;Outros;N;Para negociação;;;;;;155.56;;;;Disponibilidade;;;;;;;;;;;
CLASSES - FIAGRO;45.123.558/0001-00;CANAÃ FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-10-31;1040792;1795759612.90;Valores a pagar;Outros;N;Para negociação;;;;;;449828.86;;;;Valores a Pagar;;;;;;;;;;;
CLASSES - FIAGRO;45.123.558/0001-00;CANAÃ FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-10-31;1040792;1795759612.90;Valores a receber;Outros;N;Para negociação;;;;;;15977.00;;;;Valores a Receber;;;;;;;;;;;
CLASSES - FIAGRO;55.307.025/0001-24;FRUTO TERRAS I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO;2025-10-31;1029308;993423.66;Cotas de Fundos;;N;;12994.197990;207934.10;36012.125420;579996.05;73973.532200;1195456.07;;;;;;PJ;40457904000165;ITAÚ INDEX SIMPLES SELIC EMP RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA;;;;;;;
CLASSES - FIAGRO;55.307.025/0001-24;FRUTO TERRAS I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO;2025-10-31;1029308;993423.66;Disponibilidades;Outros;N;Para negociação;;;;;;10.60;;;;Disponibilidades;;;;;;;;;;;
CLASSES - FIAGRO;55.307.025/0001-24;FRUTO TERRAS I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO;2025-10-31;1029308;993423.66;Valores a pagar;Outros;N;Para negociação;;;;;;2148.89;;;;DESPESA COM TAXA DE ADMINISTRA??O;;;;;;;;;;;
CLASSES - FIAGRO;55.307.025/0001-24;FRUTO TERRAS I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO;2025-10-31;1029308;993423.66;Valores a pagar;Outros;N;Para negociação;;;;;;14326.70;;;;DESPESA COM TAXA DE GEST?O;;;;;;;;;;;
CLASSES - FIAGRO;55.307.025/0001-24;FRUTO TERRAS I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO;2025-10-31;1029308;993423.66;Valores a pagar;Outros;N;Para negociação;;;;;;2809.80;;;;DESPESA DE AUDITORIA;;;;;;;;;;;
CLASSES - FIAGRO;55.307.025/0001-24;FRUTO TERRAS I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO;2025-10-31;1029308;993423.66;Valores a pagar;Outros;N;Para negociação;;;;;;150595.03;;;;TAXA DE GEST?O;;;;;;;;;;;
CLASSES - FIAGRO;55.307.025/0001-24;FRUTO TERRAS I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO;2025-10-31;1029308;993423.66;Valores a pagar;Outros;N;Para negociação;;;;;;22589.22;;;;TAXA DE ADMINISTRA??O;;;;;;;;;;;
CLASSES - FIAGRO;55.307.025/0001-24;FRUTO TERRAS I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO;2025-10-31;1029308;993423.66;Valores a receber;Outros;N;Para negociação;;;;;;515.10;;;;TAXA FISCALIZA??O CVM - PGTO;;;;;;;;;;;
CLASSES - FIDC;10.292.322/0001-05;KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA;2025-10-31;1036255;521699519.03;Cotas de Fundos;;S;;;;;;1751142.695024;8938311.25;;;;;;PJ;08915927000163;BEM TPF FI FINANCEIRO - CI RF SIMPLES - RESP LIMITADA;;;;;;;
CLASSES - FIDC;10.292.322/0001-05;KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA;2025-10-31;1036255;521699519.03;Cotas de Fundos;;S;;;;;;438684.332065;102787075.27;;;;;;PJ;29492703000166;FRADINHO N FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA;;;;;;;
CLASSES - FIDC;10.292.322/0001-05;KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA;2025-10-31;1036255;521699519.03;Cotas de Fundos;;S;;;;;;9021722806.009668;19076793.74;;;;;;PJ;10756703000106;KOBOLD H FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA;;;;;;;
CLASSES - FIDC;10.292.322/0001-05;KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA;2025-10-31;1036255;521699519.03;Cotas de Fundos;;S;;;;;;255312.101301;390986298.13;;;;;;PJ;32400342000195;KYKLOS N FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA;;;;;;;
CLASSES - FIDC;10.292.322/0001-05;KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA;2025-10-31;1036255;521699519.03;Disponibilidades;Outros;N;Para negociação;;;;;;1000.00;;;;Disponibilidade;;;;;;;;;;;
CLASSES - FIDC;10.292.322/0001-05;KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA;2025-10-31;1036255;521699519.03;Valores a pagar;Outros;N;Para negociação;;;;;;96429.41;;;;Valores a Pagar;;;;;;;;;;;
CLASSES - FIDC;10.292.322/0001-05;KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA;2025-10-31;1036255;521699519.03;Valores a receber;Outros;N;Para negociação;;;;;;6470.05;;;;Valores a Receber;;;;;;;;;;;
CLASSES - FIDC;11.726.466/0001-95;MERITA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1033296;28068837.65;Cotas de Fundos;;S;;90.729559;7200.00;0.000000;0.00;422.022287;33747.86;;;;;;PJ;06175696000173;ITAÚ SOBERANO RENDA FIXA SIMPLES FIF DA CIC RESPONSABILIDADE LIMITADA;;;;;;;
CLASSES - FIDC;11.726.466/0001-95;MERITA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1033296;28068837.65;Cotas de Fundos;;S;;0.000000;0.00;0.000000;0.00;13353.034644;28048120.08;;;;;;PJ;09410142000100;TARGET FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS- MULTICREDITO;;;;;;;
CLASSES - FIDC;11.726.466/0001-95;MERITA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1033296;28068837.65;Disponibilidades;Outros;N;Para negociação;;;;;;4470.50;;;;Disponibilidade;;;;;;;;;;;
CLASSES - FIDC;11.726.466/0001-95;MERITA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-10-31;1033296;28068837.65;Valores a pagar;Outros;N;Para negociação;;;;;;17500.79;;;;Valores a Pagar;;;;;;;;;;;
