TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIAGRO;58.118.102/0001-96;EXES TERRAS I FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITAD;2025-10-31;1043012;Disponibilidades;;;1896;;2026-01-29
CLASSES - FIAGRO;58.118.102/0001-96;EXES TERRAS I FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITAD;2025-10-31;1043012;Operações Compromissadas;;;35153;;2026-01-29
CLASSES - FIAGRO;58.118.102/0001-96;EXES TERRAS I FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITAD;2025-10-31;1043012;Títulos ligados ao agronegócio;0;0;6983072;;2026-01-29
CLASSES - FIAGRO;58.118.102/0001-96;EXES TERRAS I FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITAD;2025-10-31;1043012;Valores a pagar;;;20000;;2026-01-29
CLASSES - FIAGRO;58.118.102/0001-96;EXES TERRAS I FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITAD;2025-10-31;1043012;Valores a receber;;;107579;;2026-01-29
CLASSES - FIAGRO;58.377.489/0001-03;VINCI MAV III - FIAGRO - DIREITOS CREDITÓRIOS;2025-10-31;1043013;Cotas de Fundos;16227381;18432000;4801843;;2026-01-29
CLASSES - FIAGRO;58.377.489/0001-03;VINCI MAV III - FIAGRO - DIREITOS CREDITÓRIOS;2025-10-31;1043013;Disponibilidades;;;4438;;2026-01-29
CLASSES - FIAGRO;58.377.489/0001-03;VINCI MAV III - FIAGRO - DIREITOS CREDITÓRIOS;2025-10-31;1043013;Títulos ligados ao agronegócio;0;36938502;96233051;;2026-01-29
CLASSES - FIAGRO;58.377.489/0001-03;VINCI MAV III - FIAGRO - DIREITOS CREDITÓRIOS;2025-10-31;1043013;Valores a pagar;;;118672;;2026-01-29
CLASSES - FIAGRO;58.377.489/0001-03;VINCI MAV III - FIAGRO - DIREITOS CREDITÓRIOS;2025-10-31;1043013;Valores a receber;;;2839;;2026-01-29
CLASSES - FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2025-10-31;1032569;Cotas de Fundos;0;0;87349956;;2026-01-29
CLASSES - FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2025-10-31;1032569;Valores a pagar;;;15667;;2026-01-29
CLASSES - FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2025-10-31;1032569;Valores a receber;;;26722;;2026-01-29
CLASSES - FIDC;11.827.500/0001-18;FC FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1036340;Disponibilidades;;;0;;2026-01-29
CLASSES - FIDC;11.827.500/0001-18;FC FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1036340;Outras operações passivas e exigibilidades;;;1480843;;2026-01-29
CLASSES - FIDC;11.827.500/0001-18;FC FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1036340;Valores a pagar;;;2934569;;2026-01-29
CLASSES - FIDC;11.827.500/0001-18;FC FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-10-31;1036340;Valores a receber;;;22134;;2026-01-29
CLASSES - FIDC;12.565.143/0001-20;FC2 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-10-31;1036343;Disponibilidades;;;0;;2026-01-29
CLASSES - FIDC;12.565.143/0001-20;FC2 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-10-31;1036343;Outras operações passivas e exigibilidades;;;47030;;2026-01-29
CLASSES - FIDC;12.565.143/0001-20;FC2 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-10-31;1036343;Valores a pagar;;;229271;;2026-01-29
CLASSES - FIDC;12.565.143/0001-20;FC2 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-10-31;1036343;Valores a receber;;;513;;2026-01-29
CLASSES - FIDC;12.660.458/0001-56;FC4 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-10-31;1036346;Disponibilidades;;;0;;2026-01-29
CLASSES - FIDC;12.660.458/0001-56;FC4 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-10-31;1036346;Outras operações passivas e exigibilidades;;;132456;;2026-01-29
