TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;TP_TITPUB;CD_ISIN;CD_SELIC;DT_EMISSAO;DT_VENC
CLASSES - FIF;00.017.024/0001-53;FIF - CLASSE DE INVESTIMENTO   RENDA FIXA EXPONENCIAL - RESP LIMITADA;2025-09-30;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;5.000000;86794.17;5.000000;87227.09;;;LETRAS FINANCEIRAS DO TESOURO;BRSTNCLF1RH3;210100;2021-07-02;2027-09-01
CLASSES - FIF;00.017.024/0001-53;FIF - CLASSE DE INVESTIMENTO   RENDA FIXA EXPONENCIAL - RESP LIMITADA;2025-09-30;Títulos Públicos;Título público federal;;Para negociação;5.000000;86862.18;0.000000;0.00;32.000000;558712.62;;;LETRAS FINANCEIRAS DO TESOURO;BRSTNCLF1RF7;210100;2020-03-13;2026-09-01
CLASSES - FIF;00.017.024/0001-53;FIF - CLASSE DE INVESTIMENTO   RENDA FIXA EXPONENCIAL - RESP LIMITADA;2025-09-30;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;0.000000;0.00;30.000000;523560.00;;;LETRAS FINANCEIRAS DO TESOURO;BRSTNCLF1RG5;210100;2020-07-03;2027-03-01
CLASSES - FIF;00.073.041/0001-08;BB BESC RENDA FIXA PRÁTICO CRÉDITO PRIVADO FIF RESPONSABILIDADE LIMITADA;2025-09-30;Operações Compromissadas;Título público federal;S;Para negociação;;;;;435.000000;7520264.98;;;LETRAS FINANCEIRAS DO TESOURO;BRSTNCLF1RU6;210100;2025-01-08;2031-03-01
CLASSES - FIF;00.073.041/0001-08;BB BESC RENDA FIXA PRÁTICO CRÉDITO PRIVADO FIF RESPONSABILIDADE LIMITADA;2025-09-30;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;0.000000;0.00;100.000000;1745200.02;;;LETRAS FINANCEIRAS DO TESOURO;BRSTNCLF1RG5;210100;2020-07-03;2027-03-01
CLASSES - FIF;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Operações Compromissadas;Título público federal;N;Para negociação;;;;;4890.000000;3642376.75;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN897;100000;2024-01-05;2028-01-01
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-09-30;Operações Compromissadas;Título público federal;S;Para negociação;;;;;378083.000000;351332510.18;;;NOTAS DO TESOURO NACIONAL - SERIE F;BRSTNCNTF1Q6;950199;2018-01-05;2029-01-01
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-09-30;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;0.000000;0.00;1203572.000000;1161519453.10;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN7U7;100000;2020-02-06;2026-01-01
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-09-30;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;80000.000000;74292477.82;810000.000000;756233298.36;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN8B5;100000;2024-01-05;2026-04-01
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-09-30;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;50000.000000;45035308.95;1825000.000000;1649661152.20;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN848;100000;2023-01-06;2026-07-01
CLASSES - FIF;00.194.256/0001-87;BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-09-30;Títulos Públicos;Título público federal;;Para negociação;0.000000;0.00;0.000000;0.00;705000.000000;704610464.25;;;LETRAS DO TESOURO NACIONAL;BRSTNCLTN863;100000;2023-07-07;2025-10-01
