TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CNPJ_EMISSOR;EMISSOR;DT_VENC;TITULO_POSFX;CD_INDEXADOR_POSFX;DS_INDEXADOR_POSFX;PR_INDEXADOR_POSFX;PR_CUPOM_POSFX;PR_TAXA_PREFX;RISCO_EMISSOR;AG_RISCO;DT_RISCO;GRAU_RISCO
CLASSES - FIF;00.598.452/0001-17;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-09-30;Depósitos a prazo e outros títulos de IF;CDB/ RDB;N;Para negociação;;;;;100000000.000000;1009737.14;;;00.416.968/0001-01;BANCO INTER SA;2026-03-03;S;DI1;DI de um dia;103.000000;0.000000;;N;;;
CLASSES - FIF;00.598.452/0001-17;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-09-30;Depósitos a prazo e outros títulos de IF;CDB/ RDB;N;Para negociação;;;;;1000.000000;1016928.18;;;13.220.493/0001-17;BR PARTNERS BAN;2026-02-23;S;DI1;DI de um dia;102.500000;0.000000;;N;;;
CLASSES - FIF;00.598.452/0001-17;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-09-30;Depósitos a prazo e outros títulos de IF;CDB/ RDB;N;Para negociação;;;;;1000.000000;1055149.99;;;61.186.680/0001-74;BMG;2025-11-17;S;DI1;DI de um dia;104.000000;0.000000;;N;;;
CLASSES - FIF;00.598.452/0001-17;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-09-30;Depósitos a prazo e outros títulos de IF;CDB/ RDB;N;Para negociação;;;;;1800.000000;1898856.01;;;31.895.683/0001-16;INDUSTRIAL BRAS;2025-11-17;S;DI1;DI de um dia;102.500000;0.000000;;N;;;
CLASSES - FIF;00.598.452/0001-17;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-09-30;Depósitos a prazo e outros títulos de IF;CDB/ RDB;N;Para negociação;;;;;600.000000;633877.04;;;28.195.667/0001-06;ABC BRASIL;2025-11-10;S;DI1;DI de um dia;101.500000;0.000000;;N;;;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Depósitos a prazo e outros títulos de IF;CDB/ RDB;N;Para negociação;0.000000;0.00;0.000000;0.00;4515.000000;4776374.27;;;37.679.449/0001-38;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;2026-01-05;S;DI1;DI de um dia;100.000000;0.420000;;N;;;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Depósitos a prazo e outros títulos de IF;Letra Financeira;N;Para negociação;0.000000;0.00;0.000000;0.00;87.000000;4766386.23;;;00.000.000/0001-91;BCO BRASIL SA;2028-02-03;S;DI1;DI de um dia;100.000000;0.350000;;N;;;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Depósitos a prazo e outros títulos de IF;Letra Financeira;N;Para negociação;0.000000;0.00;130.000000;6500000.00;130.000000;6511104.49;;;33.264.668/0001-03;BANCO XP S.A;2027-10-05;S;DI1;DI de um dia;100.000000;0.450000;;N;;;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Depósitos a prazo e outros títulos de IF;Letra Financeira;N;Para negociação;0.000000;0.00;0.000000;0.00;2.000000;136363.51;;;33.264.668/0001-03;BANCO XP S.A;2026-05-11;S;DI1;DI de um dia;100.000000;1.100000;;N;;;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Depósitos a prazo e outros títulos de IF;Letra Financeira;N;Para negociação;0.000000;0.00;0.000000;0.00;25.000000;1593439.49;;;59.588.111/0001-03;BANCO VOTORANTIM S.A.;2026-01-12;S;DI1;DI de um dia;100.000000;0.840000;;N;;;
