TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;DT_VENC;TITULO_POSFX;CD_INDEXADOR_POSFX;DS_INDEXADOR_POSFX;PR_INDEXADOR_POSFX;PR_CUPOM_POSFX;PR_TAXA_PREFX;TITULO_CETIP;TITULO_GARANTIA;CNPJ_INSTITUICAO_FINANC_COOBR
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;3000.000000;3028584.98;;;PJ;00.864.214/0001-06;ENERGISA SA;2032-09-15;S;DI1;DI de um dia;100.000000;0.750000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;5198.000000;1632674.09;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2027-12-31;S;DI1;DI de um dia;100.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;1.000000;290.48;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2029-01-15;S;DI1;DI de um dia;100.000000;4.500000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;10.000000;10465.81;;;PJ;46.059.783/0001-80;BOA ESPERANÇA ENERGIA RENOVÁVEL S.A.;2028-07-05;S;DI1;DI de um dia;101.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;40.000000;41988.52;;;PJ;25.005.683/0001-09;VERT COMPANHIA SECURITIZADORA;2034-02-10;S;DI1;DI de um dia;107.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;35.000000;37573.97;;;PJ;08.769.451/0001-08;VIRGO COMPANHIA DE SECURITIZAÇÃO;2029-04-12;S;DI1;DI de um dia;100.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;303.000000;156301.60;;;PJ;02.773.542/0001-22;OPEA SECURITIZADORA S.A.;2026-12-17;S;DI1;DI de um dia;100.000000;5.350000;;S;N;
CLASSES - FIF;00.832.435/0001-00;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;38127.000000;38304568.43;;2025-10-30;PJ;00.864.214/0001-06;ENERGISA SA;2032-09-15;S;DI1;DI de um dia;100.000000;0.750000;;S;N;
CLASSES - FIF;00.832.435/0001-00;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;4230.000000;4242760.26;;2025-10-30;PJ;00.389.481/0001-79;LM TRANSP INTERESTAD SERV E COM LTD;2028-09-23;S;DI1;DI de um dia;100.000000;1.300000;;S;N;
CLASSES - FIF;00.832.435/0001-00;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA;2025-09-30;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;3657.000000;3878540.92;;2025-10-30;PJ;10.835.932/0001-08;COMPANHIA ENERGETICA DE PERNAMBUCO;2029-06-20;S;DI1;DI de um dia;100.000000;1.540000;;S;N;
