TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;INVEST_COLETIVO;INVEST_COLETIVO_GESTOR;EMISSOR;DT_VENC;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC;CD_ATIVO_BV_MERC;RISCO_EMISSOR;AG_RISCO;DT_RISCO;GRAU_RISCO;DS_ATIVO_EXTERIOR;QT_ATIVO_EXTERIOR;VL_ATIVO_EXTERIOR
CLASSES - FIF;00.083.181/0001-67;OPP I FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-09-30;Investimento no Exterior;Fundos Offshore;N;Para negociação;;;;;5837.140000;32483781.16;;;S;N;OPP TEMPUS FOF2;;CYM;ILHAS CAYMAN;99;Outras bolsas ou mercados de balcão organizados;OPPTFOF2;N;;;;;;
CLASSES - FIF;00.083.181/0001-67;OPP I FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-09-30;Investimento no Exterior;Fundos Offshore;N;Para negociação;;;;;100.000000;533330.55;;;S;N;TEMPUS FOF III CLASS;;CYM;ILHAS CAYMAN;99;Outras bolsas ou mercados de balcão organizados;TEMPUIII;N;;;;;;
CLASSES - FIF;00.083.181/0001-67;OPP I FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-09-30;Investimento no Exterior;Fundos Offshore;N;Para negociação;;;;;12701.130000;67794910.17;;;S;N;TEMPUS RE II CLS SHR;;CYM;ILHAS CAYMAN;99;Outras bolsas ou mercados de balcão organizados;TEMPREII;N;;;;;;
CLASSES - FIF;00.083.181/0001-67;OPP I FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-09-30;Investimento no Exterior;Fundos Offshore;N;Para negociação;;;;;3417.620000;39767129.34;;;S;N;TEMPUS OPP 1 CLASS;;CYM;ILHAS CAYMAN;99;Outras bolsas ou mercados de balcão organizados;OPPTEMP1;N;;;;;;
CLASSES - FIF;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Investimento no Exterior;Ação ordinária;N;Para negociação;;;;;9600.000000;9128270.14;;;N;N;ALIBABA GROUP HOLDING LTD;;USA;ESTADOS UNIDOS DA AMÉRICA;A12;NYSE EURONEXT;BABA US;N;;;;;;
CLASSES - FIF;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Investimento no Exterior;Ação ordinária;N;Para negociação;;;;;20500.000000;23946754.32;;;N;N;AMAZON.COM INC;;USA;ESTADOS UNIDOS DA AMÉRICA;A11;NASDAQ STOCK MARKET;AMZN;N;;;;;;
CLASSES - FIF;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Investimento no Exterior;Ação ordinária;N;Para negociação;;;;;12000.000000;20137429.72;;;N;N;JP MORGAN CHASE CO;;USA;ESTADOS UNIDOS DA AMÉRICA;A12;NYSE EURONEXT;JPMC;N;;;;;;
CLASSES - FIF;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Investimento no Exterior;Depository Receipt no Exterior(DR);N;Para negociação;;;;;5560.000000;7204149.57;;;N;N;ALPHABET INC;;USA;ESTADOS UNIDOS DA AMÉRICA;A11;NASDAQ STOCK MARKET;GOOG US;N;;;;;;
CLASSES - FIF;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Investimento no Exterior;Depository Receipt no Exterior(DR);N;Para negociação;;;;;5580.000000;7216705.01;;;N;N;ALPHABET INC;;USA;ESTADOS UNIDOS DA AMÉRICA;A12;NYSE EURONEXT;GOOG;N;;;;;;
CLASSES - FIF;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Investimento no Exterior;Depository Receipt no Exterior(DR);N;Para negociação;;;;;930.000000;3940095.32;;;N;N;GOLDMAN SACHS GROUP INC THE;;USA;ESTADOS UNIDOS DA AMÉRICA;A12;NYSE EURONEXT;GS;N;;;;;;
CLASSES - FIF;00.360.293/0001-18;BB RENDA FIXA DIVIDA EXTERNA MIL FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;2025-09-30;Investimento no Exterior;Título da Dívida Externa;N;Para negociação;0.000000;0.00;0.000000;0.00;1400000.000000;7506458.96;;;N;N;GOVERNO BRASILEIRO;2029-05-30;BRA;BRASIL;99;Outras bolsas ou mercados de balcão organizados;105756CA6;N;;;;;;
CLASSES - FIF;00.360.293/0001-18;BB RENDA FIXA DIVIDA EXTERNA MIL FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;2025-09-30;Investimento no Exterior;Título da Dívida Externa;N;Para negociação;200000.000000;1089079.91;0.000000;0.00;3150000.000000;17169263.84;;;N;N;GOVERNO BRASILEIRO;2034-03-15;BRA;BRASIL;99;Outras bolsas ou mercados de balcão organizados;105756CH1;N;;;;;;
CLASSES - FIF;00.360.293/0001-18;BB RENDA FIXA DIVIDA EXTERNA MIL FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;2025-09-30;Investimento no Exterior;Título da Dívida Externa;N;Para negociação;100000.000000;555712.16;0.000000;0.00;650000.000000;3609875.49;;;N;N;GOVERNO BRASILEIRO;2035-03-15;BRA;BRASIL;99;Outras bolsas ou mercados de balcão organizados;105756CL2;N;;;;;;
CLASSES - FIF;00.888.897/0001-31;BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;2025-09-30;Investimento no Exterior;Depository Receipt no Exterior(DR);N;Para negociação;;;;;1985.000000;1.06;;;N;N;UNIGEL LUXEMBOURG SA;;USA;ESTADOS UNIDOS DA AMÉRICA;99;Outras bolsas ou mercados de balcão organizados;UNIGELL US;N;;;;;;
CLASSES - FIF;00.888.897/0001-31;BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;2025-09-30;Investimento no Exterior;Fundos Offshore;S;Para negociação;;;;;86984.529400;17357025.46;;;S;S;BTG PACTUAL INTERNATIONAL PORT FUND SPC - CLASS B;;CYM;ILHAS CAYMAN;99;Outras bolsas ou mercados de balcão organizados;FUNDO OFF;N;;;;;;
CLASSES - FIF;00.888.897/0001-31;BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;2025-09-30;Investimento no Exterior;Fundos Offshore;S;Para negociação;;;;;1026304.746300;29750687.10;;;S;S;BTG PACTUAL INTERNATIONAL PORT FUND SPC-CLASS Z;;CYM;ILHAS CAYMAN;99;Outras bolsas ou mercados de balcão organizados;FUNDO OFF;N;;;;;;
CLASSES - FIF;01.214.092/0001-75;BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;2025-09-30;Investimento no Exterior;Depository Receipt no Exterior(DR);N;Para negociação;;;;;74.000000;0.05;;;N;N;UNIGEL LUXEMBOURG SA;;USA;ESTADOS UNIDOS DA AMÉRICA;99;Outras bolsas ou mercados de balcão organizados;UNIGELL US;N;;;;;;
CLASSES - FIF;01.214.092/0001-75;BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;2025-09-30;Investimento no Exterior;Fundos Offshore;S;Para negociação;;;;;7196.771600;864517.45;;;S;S;BTG PACTUAL INTERNATIONAL FUND - CLASS H;;CYM;ILHAS CAYMAN;99;Outras bolsas ou mercados de balcão organizados;FUNDO OFF;N;;;;;;
CLASSES - FIF;01.214.092/0001-75;BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;2025-09-30;Investimento no Exterior;Fundos Offshore;S;Para negociação;;;;;44804.273400;8940312.95;;;S;S;BTG PACTUAL INTERNATIONAL PORT FUND SPC - CLASS B;;CYM;ILHAS CAYMAN;99;Outras bolsas ou mercados de balcão organizados;FUNDO OFF;N;;;;;;
