TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Operações Compromissadas;;N;Para negociação;;;;;22.000000;381835.21;;;;;2029-03-01;;;;;210100;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Operações Compromissadas;;N;Para negociação;;;;;1687.000000;29198496.63;;;;;2030-03-01;;;;;210100;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Cotas de Fundos;;S;;0.000000;0.00;0.000000;0.00;161879.303187;662902.97;;;;;;PJ;11616354000181;PLURAL YIELD FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO DI - RESPONSABILIDADE LIMITADA;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Disponibilidades;Outros;N;Para negociação;;;;;;9035425.53;;;;Disponibilidade;;;;;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Valores a pagar;Outros;N;Para negociação;;;;;;11876764.48;;;;Valores a Pagar;;;;;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Valores a receber;Outros;N;Para negociação;;;;;;3270286.93;;;;Valores a Receber;;;;;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;2538552.89;;;;IMUNA / NISIA FLORESTA;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;5748362.24;;;;FAZ. CAPUABA URUCUTUMBA SITIO MARACUJA - Sao Jose de Mipibu;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;793478.00;;;;FAZENDA MARFIM / CANGUARETAMA;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;7629240.68;;;;FAZENDA ALVORADA;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;1258061.23;;;;FAZENDA COLIBRI I E II;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;4369128.68;;;;FAZENDA BICA E GUME;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;523368.29;;;;FAZENDA JANGADA;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;7658714.14;;;;FAZENDA BELO HORIZONTE;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;4841642.02;;;;FAZENDA NOVO HORIZONTE;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;3321466.20;;;;FAZENDA VALE DO POPOCAS;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;2138275.81;;;;FAZENDA MUNDO NOVO I - Ares;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;2141267.24;;;;RIACHO DO SALTO E RIACHO FUNDO - Pedras de Fogo;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;1635674.19;;;;JOAO MARQUES / GOIANINHA;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;3719956.19;;;;FAZENDA MUZUMBO I;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;4557047.88;;;;FAZENDA QUATI;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;4105284.48;;;;FAZENDA POPOCAS;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;31086.02;;;;BREJEIRO / AREZ;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;10015150.57;;;;FAZENDA JAGUARIBE E S?O FRANCISCO;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;13610091.96;;;;FAZENDA MANGUEIRA E OUTRAS;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;11871584.79;;;;FAZENDA S?O ROQUE E OUTRAS;;PJ;00000000000000;IMOBILIARIO;;;;;;;
CLASSES - FIAGRO;12.358.507/0001-09;EXITUS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO - IMOBILIÁRIO;2025-09-30;1040794;736256631.91;Outras aplicações;Outros;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;18571824.65;;;;FAZENDA NASCEN?A DO PIQUIRI;;PJ;00000000000000;IMOBILIARIO;;;;;;;
