TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIAGRO;35.868.733/0001-27;EXES XINGU FI EM CADEIAS DO AGRONEGÓCIO - DIREITOS CREDITÓRIOS - FIAGRO FIDC - RESP LIMITADA;2025-09-30;1040077;Cotas de Fundos;8093075;2655762;6225060;;2025-12-29
CLASSES - FIAGRO;35.868.733/0001-27;EXES XINGU FI EM CADEIAS DO AGRONEGÓCIO - DIREITOS CREDITÓRIOS - FIAGRO FIDC - RESP LIMITADA;2025-09-30;1040077;Disponibilidades;;;0;;2025-12-29
CLASSES - FIAGRO;35.868.733/0001-27;EXES XINGU FI EM CADEIAS DO AGRONEGÓCIO - DIREITOS CREDITÓRIOS - FIAGRO FIDC - RESP LIMITADA;2025-09-30;1040077;Títulos ligados ao agronegócio;0;0;16606653;;2025-12-29
CLASSES - FIAGRO;35.868.733/0001-27;EXES XINGU FI EM CADEIAS DO AGRONEGÓCIO - DIREITOS CREDITÓRIOS - FIAGRO FIDC - RESP LIMITADA;2025-09-30;1040077;Valores a pagar;;;53396;;2025-12-29
CLASSES - FIAGRO;35.868.733/0001-27;EXES XINGU FI EM CADEIAS DO AGRONEGÓCIO - DIREITOS CREDITÓRIOS - FIAGRO FIDC - RESP LIMITADA;2025-09-30;1040077;Valores a receber;;;35014;;2025-12-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-09-30;1016538;Cotas de Fundos;;;14671652;;2025-12-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-09-30;1016538;Disponibilidades;;;4441;;2025-12-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-09-30;1016538;Operações Compromissadas;;;12251843;;2025-12-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-09-30;1016538;Outros valores mobiliários registrados na CVM objeto de oferta pública;;;12652198;;2025-12-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-09-30;1016538;Títulos ligados ao agronegócio;;;111539881;;2025-12-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-09-30;1016538;Valores a pagar;;;1398956;;2025-12-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-09-30;1016538;Valores a receber;;;26000;;2025-12-29
CLASSES - FIAGRO;40.413.979/0001-44;FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS RIZA AGRO - FIAGRO - IMOBILIÁRIO;2025-09-30;1039522;Cotas de Fundos;9186338;13177241;36119758;;2025-12-29
CLASSES - FIAGRO;40.413.979/0001-44;FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS RIZA AGRO - FIAGRO - IMOBILIÁRIO;2025-09-30;1039522;Disponibilidades;;;2000;;2025-12-29
